NAME,Birth,Region,Energy,CarbonDioxide,Fertility,IndustrialGrowth,Laborforce,LifeExpectancy,Unemployment
Niger,47.08,Africa,1540000,2374000,6.82,4.09,9411000,60.09,0.75
Angola,41.8,Africa,11693000,19362000,5.83,-8.34,14462000,62.11,8.53
Benin,41.15,Africa,8468000,6903000,5.43,9.12,5295000,62.21,1.57
Mali,41.07,Africa,4396000,5679000,5.54,1.01,7900000,62.41,7.72
Uganda,40.94,Africa,2943000,5841000,5.36,3.47,16995000,68.96,2.94
Chad,40.45,Africa,1575000,1771000,5.46,0.3,5246000,59.15,1.88
Congo Democratic Republic of the,40.08,Africa,1371000,2653000,5.63,7.78,33382000,61.83,5.43
Somalia,37.98,Africa,802000,882000,5.31,3.5,3042000,55.72,19.86
Mozambique,37.47,Africa,8107000,7753000,4.81,-0.42,14137000,57.1,3.98
Liberia,36.64,Africa,3790000,1346000,4.79,16.25,2289000,65.45,4.09
Guinea-Bissau,36.45,Africa,2460000,342000,4.69,-0.7,867500,63.68,6.76
Guinea,35.67,Africa,4133000,2981000,4.85,3.9,4890000,63.9,6.34
Cameroon,35.53,Africa,6187000,7105000,4.55,3.22,11810000,63.27,3.87
Afghanistan,35.46,South Asia,3227000,7893000,4.62,-14.19,9390000,53.65,13.28
Burundi,35.17,Africa,1087000,715000,5.03,1.4,5271000,67.42,1.79
Zambia,34.86,Africa,11595000,6798000,4.56,4.18,8113000,66.26,13.03
Nigeria,34.19,Africa,8466000,104494000,4.62,-0.47,65116000,61.33,9.79
Burkina Faso,33.57,Africa,3230000,4444000,4.27,8.73,8016000,63.44,4.76
Sudan,33.47,Africa,8047000,17319000,4.6,-0.7,12921000,67.12,19.81
Tanzania,33.3,Africa,3334000,11491000,4.39,6.5,29863000,70.19,2.65
Zimbabwe,33.07,Africa,11516000,7902000,3.89,6.37,7916000,63.32,5.17
Central African Republic,32.79,Africa,1121000,285000,4.04,-0.24,2015000,55.52,6.57
Sierra Leone,32.2,Africa,1803000,899000,3.8,17.41,2858000,58.76,5.33
Togo,31.86,Africa,4113000,2244000,4.23,5.32,2965000,71.36,4
Congo Republic of the,31.82,Africa,16156000,4523000,4.36,-7.91,2268000,62.1,23.01
Senegal,31.51,Africa,9221000,10696000,4.27,10.91,4377000,69.96,3.72
Timor-Leste,30.94,East and Southeast Asia,5740000,538000,4.21,5.65,569700,69.92,5.07
Ethiopia,30.49,Africa,3219000,16798000,3.99,7.26,56664000,68.25,3.69
Equatorial Guinea,29.95,Africa,57596000,4528000,4.26,-6.46,549800,63.7,9.24
Papua New Guinea,29.03,East and Southeast Asia,11316000,6491000,3.92,-7.5,3073000,69.43,2.75
Gambia The,28.78,Africa,3547000,606000,3.79,10.4,856100,67.6,11.21
Madagascar,28.68,Africa,2307000,4218000,3.62,-21.56,14813000,68.17,2.59
Ghana,28.55,Africa,11239000,18093000,3.66,-0.8,14095000,69.37,4.7
Cote d'Ivoire,28.3,Africa,8225000,11880000,3.53,6.2,8876000,62.26,3.47
Sao Tome and Principe,28.19,Africa,11636000,173000,3.56,1.44,71400,67.06,15.91
Mauritania,28.06,Africa,13558000,4041000,3.53,-6.61,1197000,65.22,11.46
Malawi,27.94,Africa,1809000,1542000,3.4,1.9,8551000,72.44,7.02
Gaza Strip,27.67,Middle East,13604000,3341000,3.44,6.22,1249000,75.4,24.9
Eritrea,27.04,Africa,3217000,798000,3.58,5.4,1675000,66.85,8.05
Pakistan,26.48,South Asia,15859000,193869000,3.46,7.81,73133000,69.67,4.35
Rwanda,26.44,Africa,1704000,1189000,3.33,13.4,6776000,65.85,1.61
Kenya,26.39,Africa,6310000,17709000,3.29,7.17,23915000,69.69,5.74
Gabon,26.03,Africa,26786000,2651000,3.31,3.2,718400,69.7,22.26
Namibia,25.01,Africa,29811000,3831000,2.98,1.44,939000,66.47,21.68
Iraq,24.7,Middle East,63174000,143479000,3.25,-1.14,11184000,73.18,14.19
Yemen,24.64,Middle East,5453000,10158000,3.01,-5.23,7299000,67.51,13.57
West Bank,24.42,Middle East,13604000,3341000,2.96,6.22,1249000,76.38,24.9
Eswatini,23.35,Africa,19371000,1224000,2.44,15.38,383500,59.69,25.76
Lesotho,23.15,Africa,7823000,736000,2.92,8.52,955600,59.57,24.6
Syria,22.72,Middle East,24567000,26893000,2.8,-14.77,6143000,74.28,10.57
Solomon Islands,22.71,Australia and Oceania,6955000,333000,2.87,-3.84,366000,76.7,1.03
Jordan,22.58,Middle East,39331000,23470000,2.96,3.02,2865000,76.01,19.25
Comoros,22.52,Africa,5346000,326000,2.78,-0.25,219900,67.2,9.45
Guatemala,22.34,Central America and the Caribbean,19411000,19041000,2.62,8.49,6671000,72.91,3.57
Philippines,22.28,East and Southeast Asia,19261000,142282000,2.78,8.49,44242000,70.14,2.41
Djibouti,22.25,Africa,8869000,610000,2.15,-4.43,240500,65.3,28.39
Oman,22.11,Middle East,292022000,76321000,2.7,1.05,2259000,76.9,3.12
Vanuatu,21.57,Australia and Oceania,10878000,225000,2.66,4.92,132700,75.14,2.18
Libya,21.56,Africa,107118000,38297000,3.09,-10.57,2280000,77.18,19.58
Egypt,21.46,Africa,40063000,235137000,2.88,-1.09,30179000,74.45,9.33
Belize,21.28,Central America and the Caribbean,31552000,541000,2.62,15.08,176900,75.82,8.22
Haiti,21.12,Central America and the Caribbean,3970000,3139000,2.43,-2.48,5010000,65.95,15.73
Laos,20.9,East and Southeast Asia,73187000,40726000,2.35,7.61,3915000,68.15,1.26
Tajikistan,20.73,Central Asia,27651000,7643000,2.45,22.04,2500000,69.36,7.75
Tonga,20.31,Australia and Oceania,22841000,171000,2.76,1.23,32000,77.53,3.97
Botswana,20.28,Africa,34095000,5965000,2.39,19.38,1050000,65.64,24.72
Kiribati,20.12,Australia and Oceania,9335000,76000,2.2,-1.57,39000,67.9,30.6
Kyrgyzstan,19.54,Central Asia,35059000,7880000,2.5,3.1,2478000,72.35,9.1
Cambodia,19.29,East and Southeast Asia,13629000,13844000,2.24,9.37,9345000,70.65,0.61
Samoa,19.21,Australia and Oceania,27111000,355000,2.42,-9.65,58400,75.19,9.84
Bolivia,18.61,South America,27094000,17786000,2.33,9.56,6322000,72.5,8.51
South Africa,18.56,Africa,98474000,470358000,2.18,6.12,22398000,65.32,33.56
Algeria,18.52,Africa,61433000,151633000,2.51,7.36,12312000,78.03,12.7
Cabo Verde,18.49,Africa,26539000,1002000,2.13,11.76,234300,73.75,15.42
Micronesia Federated States of,18.39,Australia and Oceania,0,177000,2.24,-8.33,37920,74.44,16.2
Dominican Republic,18.03,Central America and the Caribbean,39016000,26808000,2.21,15.89,5027000,72.56,8.5
Panama,17.99,Central America and the Caribbean,98946000,25263000,2.39,37.5,1966000,77.62,12.09
Honduras,17.92,Central America and the Caribbean,19800000,8523000,2.01,20.05,4314000,75.17,8.51
El Salvador,17.87,Central America and the Caribbean,24124000,7632000,2.05,9.47,2658000,75.37,5.94
Kuwait,17.78,Middle East,381985000,92582000,2.24,-12.2,2363000,79.13,3.71
Bangladesh,17.69,South Asia,9917000,96180000,2.09,10.29,70961000,74.7,5.23
Nepal,17.53,South Asia,5219000,7708000,1.9,4.51,16884000,72.4,5.05
Turkmenistan,17.51,Central Asia,330507000,109037000,2.03,1,1998000,71.83,5.08
Morocco,17.42,Africa,24590000,60200000,2.29,6.84,11814000,73.68,11.47
Israel,17.41,Middle East,113273000,61092000,2.56,6.05,4186000,83.35,5.05
Venezuela,17.27,South America,85829000,103708000,2.22,-2,10245000,73.29,6.41
Peru,17.21,South America,36465000,54996000,2.2,16.44,18352000,68.94,4.83
India,16.82,South Asia,23231000,2314738000,2.1,10.27,476670000,67.22,5.98
Guyana,16.72,South America,48608000,2743000,2.06,33.52,299300,71.87,16.42
Fiji,16.56,Australia and Oceania,32901000,1691000,2.26,-8.34,372200,74.27,5.24
Nicaragua,16.52,Central America and the Caribbean,14916000,4851000,1.8,21.28,3042000,74.78,5.96
Ecuador,16.45,South America,42564000,36051000,2.04,0.49,8528000,78,6.43
Burma,16.34,East and Southeast Asia,10679000,31848000,2.02,-20.65,22122000,69.92,2.17
Paraguay,16.32,South America,62775000,7896000,1.89,4.69,3430000,78.37,7.21
Brunei,16.14,East and Southeast Asia,415184000,9956000,1.74,-4.17,219800,78.38,7.65
Bhutan,15.94,South Asia,100135000,934000,1.79,1.96,361000,72.31,4.33
Jamaica,15.91,Central America and the Caribbean,49700000,10002000,2.06,2.38,1418000,75.75,9.18
Mongolia,15.84,East and Southeast Asia,83045000,22740000,1.91,-2.22,1331000,71.37,7.08
Vietnam,15.69,East and Southeast Asia,36392000,249929000,2.05,3.58,56203000,75.52,2.17
Argentina,15.58,South America,79083000,193205000,2.18,15.26,21206000,78.31,10.9
Maldives,15.54,South Asia,59690000,2286000,1.71,4.51,229300,76.94,6.08
Uzbekistan,15.53,Central Asia,57709000,102965000,1.73,8.37,14094000,75.29,7.16
Kazakhstan,15.38,Central Asia,180726000,263689000,2.11,5.1,9248000,72.53,4.9
Suriname,15.38,South America,82356000,2372000,1.92,-10.92,244200,72.42,10.06
Indonesia,15.32,East and Southeast Asia,29680000,563543000,2.01,3.42,138119000,73.08,4.41
Iran,15.27,Middle East,145540000,646038000,1.93,3.21,27682000,75.25,11.46
Colombia,15.21,South America,34703000,81007000,1.95,9.65,26137000,74.89,14.34
Antigua and Barbuda,15.16,Central America and the Caribbean,107154000,729000,1.95,8.26,30000,77.8,11
Faroe Islands,14.94,Europe,0,870000,2.29,3.4,27540,81.26,2.2
Kosovo,14.85,Europe,51462000,8009000,1.9,7.76,500300,71.12,30.5
Bahamas The,14.64,Central America and the Caribbean,140505000,3984000,1.98,8.51,224400,76.13,13.24
Tunisia,14.62,Africa,35620000,23692000,2,8.6,4226000,76.82,16.82
Malaysia,14.55,East and Southeast Asia,123755000,254764000,1.75,5.65,16740000,76.13,4.61
Costa Rica,14.28,Central America and the Caribbean,44899000,8115000,1.86,9.83,2426000,79.64,17.95
Turkey (Turkiye),14.28,Middle East,79126000,391792000,1.93,12.46,32554000,76.21,13.39
Saudi Arabia,14.22,Middle East,296949000,579925000,1.92,1.71,16060000,76.65,7.36
Korea North,14.21,East and Southeast Asia,12610000,18465000,1.9,1,17160000,71.77,2.59
New Caledonia,14.13,Australia and Oceania,0,5886000,1.86,3.5,132200,78.83,16.57
Brazil,13.96,South America,59444000,456670000,1.8,4.48,99470000,75.92,14.4
Grenada,13.94,Central America and the Caribbean,39799000,316000,1.93,15.33,55270,75.74,24
Dominica,13.91,Central America and the Caribbean,37513000,182000,2.02,5.01,25000,78.21,23
Sri Lanka,13.8,South Asia,17268000,23939000,1.98,5.62,8268000,78,5.39
Azerbaijan,13.59,Middle East,64416000,35389000,1.86,1.95,4919000,74.15,6.58
Mexico,13.55,North America,61597000,463739000,1.68,5.44,56132000,72.32,4.38
Turks and Caicos Islands,13.54,Central America and the Caribbean,0,245000,1.7,5,4848,80.82,10
Lebanon,13.1,Middle East,53528000,25838000,1.71,-6.85,1719000,78.76,14.49
